R_fighter,B_fighter,Winner
Muslim Salikhov,Laureano Staropoli,Red
Demian Maia,Ben Askren,Red
Alex White,Rafael Fiziev,Blue
Maurice Greene,Sergei Pavlovich,Blue
Loma Lookboonmee,Aleksandra Albu,Red
Raphael Pessoa,Jeff Hughes,Red
Maycee Barber,Gillian Robertson,Red
Greg Hardy,Ben Sosoli,Draw
Deron Winn,Darren Stewart,Blue
Molly McCann,Diana Belbita,Red
Charles Rosa,Manny Bermudez,Red
Joe Lauzon,Jonathan Pearce,Red
Dominick Reyes,Chris Weidman,Red
Yair Rodriguez,Jeremy Stephens,Red
Randy Costa,Boston Salmon,Red
Brendan Allen,Kevin Holland,Red
Kyle Bochniak,Sean Woodson,Blue
Daniel Spitz,Tanner Boser,Blue
Court McGee,Sean Brady,Blue
Ryan Spann,Devin Clark,Red
Mackenzie Dern,Amanda Ribas,Blue
Mike Davis,Thomas Gifford,Red
Cub Swanson,Kron Gracie,Red
Matt Frevola,Luis Pena,Red
Eryk Anders,Gerald Meerschaert,Red
Joanna Jedrzejczyk,Michelle Waterson,Red
Niko Price,James Vick,Red
Max Griffin,Alex Morono,Blue
Deiveson Figueiredo,Tim Elliott,Red
Marlon Vera,Andre Ewell,Red
Miguel Baeza,Hector Aldana,Red
Marvin Vettori,Andrew Sanchez,Red
JJ Aldrich,Lauren Mueller,Red
Justin Tafa,Yorgan De Castro,Blue
Robert Whittaker,Israel Adesanya,Blue
Jake Matthews,Rostem Akman,Red
Tai Tuivasa,Serghei Spivac,Blue
Brad Riddell,Jamie Mullarkey,Red
Al Iaquinta,Dan Hooker,Blue
Callan Potter,Maki Pitolo,Red
Luke Jumeau,Dhiego Lima,Blue
Megan Anderson,Zarah Fairn,Red
Khalid Taha,Bruno Silva,Draw
Nadia Kassem,Ji Yeon Kim,Blue
Ion Cutelaba,Khalil Rountree Jr.,Red
Michal Oleksiejczuk,Ovince Saint Preux,Blue
Alen Amedovski,John Phillips,Blue
Nicolas Dalby,Alex Oliveira,Red
Gunnar Nelson,Gilbert Burns,Blue
Jack Hermansson,Jared Cannonier,Blue
Mark Madsen,Danilo Belluardo,Red
Alessio Di Chirico,Makhmud Muradov,Blue
Siyar Bahadurzada,Ismail Naurdiev,Blue
Macy Chiasson,Lina Lansberg,Blue
Brandon Davis,Giga Chikadze,Blue
Marc Diakiese,Lando Vannata,Red
Jack Shore,Nohelin Hernandez,Red
Martin Bravo,Steven Peterson,Blue
Jose Quinonez,Carlos Huachin,Red
Carla Esparza,Alexa Grasso,Red
Ariane Carnelossi,Angela Hill,Blue
Marco Polo Reyes,Kyle Nelson,Blue
Brandon Moreno,Askar Askarov,Draw
Irene Aldana,Vanessa Melo,Red
Yair Rodriguez,Jeremy Stephens,Draw
Vinicius Moreira,Paul Craig,Blue
Claudio Puelles,Marcos Mariano,Red
Sijara Eubanks,Bethe Correia,Blue
Sergio Pettis,Tyson Nam,Red
Donald Cerrone,Justin Gaethje,Blue
Misha Cirkunov,Jimmy Crute,Red
Cole Smith,Miles Johns,Blue
Marcin Tybura,Augusto Sakai,Blue
Uriah Hall,Antonio Carlos Junior,Red
Glover Teixeira,Nikita Krylov,Red
Todd Duffee,Jeff Hughes,Draw
Michel Pereira,Tristan Connelly,Blue
Louis Smolka,Ryan MacDonald,Red
Kyle Prepolec,Austin Hubbard,Blue
Chas Skelly,Jordan Griffin,Red
Brad Katona,Hunter Azure,Blue
Zubaira Tukhugov,Lerone Murphy,Draw
Curtis Blaydes,Shamil Abdurakhimov,Red
Liana Jojua,Sarah Moras,Blue
Islam Makhachev,Davi Ramos,Red
Khabib Nurmagomedov,Dustin Poirier,Red
Edson Barboza,Paul Felder,Blue
Joanne Calderwood,Andrea Lee,Red
Mairbek Taisumov,Diego Ferreira,Blue
Ottman Azaitar,Teemu Packalen,Red
Omari Akhmedov,Zak Cummings,Red
Belal Muhammad,Takashi Sato,Red
Don Madge,Fares Ziam,Red
Nordine Taleb,Muslim Salikhov,Blue
Da-Un Jung,Khadis Ibragimov,Red
Kai Kara-France,Mark De La Rosa,Red
Li Jingliang,Elizeu Zaleski dos Santos,Red
Su Mudaerji,Andre Soukhamthath,Red
Wu Yanan,Inoue Mizuki,Blue
Jessica Andrade,Zhang Weili,Blue
Song Kenan,Derrick Krantz,Red
Junyong Park,Anthony Hernandez,Blue
Damir Ismagulov,Thiago Moises,Red
Karol Rosa,Lara Procopio,Red
Heili Alateng,Batgerel Danaa,Red
Devonte Smith,Khama Worthy,Blue
Anthony Pettis,Nate Diaz,Blue
Christos Giagos,Drakkar Klose,Blue
Yoel Romero,Paulo Costa,Blue
Raphael Assuncao,Cory Sandhagen,Blue
Gabriel Benitez,Sodiq Yusuff,Blue
Derek Brunson,Ian Heinisch,Red
Daniel Cormier,Stipe Miocic,Blue
Kyung Ho Kang,Brandon Davis,Red
Hannah Cifers,Jodie Esquibel,Red
Manny Bermudez,Casey Kenney,Blue
Sabina Mazo,Shana Dobson,Red
Eduardo Garagorri,Humberto Bandenay,Red
Vicente Luque,Mike Perry,Red
Gilbert Burns,Aleksei Kunchenko,Red
Volkan Oezdemir,Ilir Latifi,Red
Ciryl Gane,Raphael Pessoa,Red
Enrique Barzola,Bobby Moffett,Red
Rodolfo Vieira,Oskar Piechota,Red
Valentina Shevchenko,Liz Carmouche,Red
Tecia Torres,Marina Rodriguez,Blue
Rogerio Bontorin,Raulian Paiva,Red
Geraldo de Freitas,Chris Gutierrez,Blue
Veronica Macedo,Polyana Viana,Red
Kazula Vargas,Alex Da Silva,Blue
Joaquim Silva,Nasrat Haqparast,Blue
Scott Holtzman,Dong Hyun Ma,Red
Darko Stosic,Kennedy Nzechukwu,Blue
Antonina Shevchenko,Lucie Pudilova,Red
Colby Covington,Robbie Lawler,Red
Jim Miller,Clay Guida,Red
Trevin Giles,Gerald Meerschaert,Blue
Miranda Granger,Hannah Goldy,Red
Jordan Espinosa,Matt Schnell,Blue
Lauren Murphy,Mara Romero Borella,Red
Claudio Silva,Cole Williams,Red
Mickey Gall,Salim Touahri,Red
Gavin Tucker,SeungWoo Choi,Red
Geoff Neal,Niko Price,Red
Hakeem Dawodu,Yoshinori Horie,Red
Marc-Andre Barriault,Krzysztof Jotko,Blue
Cristiane Justino,Felicia Spencer,Red
Olivier Aubin-Mercier,Arman Tsarukyan,Blue
Alexis Davis,Viviane Araujo,Blue
Max Holloway,Frankie Edgar,Red
Alexandre Pantoja,Deiveson Figueiredo,Blue
Gillian Robertson,Sarah Frota,Red
Erik Koch,Kyle Stewart,Red
Raquel Pennington,Irene Aldana,Red
Rafael Dos Anjos,Leon Edwards,Blue
Alex Caceres,Steven Peterson,Red
Alexander Hernandez,Francisco Trinaldo,Red
James Vick,Dan Hooker,Blue
Aleksei Oleinik,Walt Harris,Blue
Andrei Arlovski,Ben Rothwell,Red
Greg Hardy,Juan Adams,Red
Roxanne Modafferi,Jennifer Maia,Blue
Sam Alvey,Klidson Abreu,Blue
Domingo Pilarte,Felipe Colares,Blue
Ray Borg,Gabriel Silva,Red
Mario Bautista,Jin Soo Son,Red
Andre Fili,Sheymon Moraes,Red
Marvin Vettori,Cezar Ferreira,Red
Josh Emmett,Mirsad Bektic,Red
Julianna Pena,Nicco Montano,Red
Mike Rodriguez,John Allan,Draw
Urijah Faber,Ricky Simon,Red
Germaine de Randamie,Aspen Ladd,Red
Karl Roberson,Wellington Turman,Red
Pingyuan Liu,Jonathan Martinez,Blue
Benito Lopez,Vince Morales,Red
Livinha Souza,Brianna Van Buren,Blue
Darren Elkins,Ryan Hall,Blue
Jorge Masvidal,Ben Askren,Red
Marlon Vera,Nohelin Hernandez,Red
Amanda Nunes,Holly Holm,Red
Diego Sanchez,Michael Chiesa,Blue
Jon Jones,Thiago Santos,Red
Gilbert Melendez,Arnold Allen,Blue
Claudia Gadelha,Randa Markos,Red
Jan Blachowicz,Luke Rockhold,Red
Edmen Shahbazyan,Jack Marshman,Red
Alejandro Perez,Song Yadong,Blue
Ismail Naurdiev,Chance Rencountre,Blue
Julia Avila,Pannie Kianzad,Red
Eryk Anders,Vinicius Moreira,Red
Jussier Formiga,Joseph Benavidez,Blue
Roosevelt Roberts,Vinc Pichel,Blue
Francis Ngannou,Junior Dos Santos,Red
Alonzo Menifield,Paul Craig,Red
Drew Dober,Marco Polo Reyes,Red
Demian Maia,Anthony Rocco Martin,Red
Ricardo Ramos,Journey Newson,Red
Emily Whitmire,Amanda Ribas,Blue
Dalcha Lungiambula,Dequan Townsend,Red
Maurice Greene,Junior Albini,Red
Jared Gordon,Dan Moret,Red
Kevin Holland,Alessio Di Chirico,Red
Ashley Yoder,Syuri Kondo,Red
Matt Wiman,Luis Pena,Blue
Andrea Lee,Montana De La Rosa,Red
Renato Moicano,Chan Sung Jung,Blue
Bryan Barberena,Randy Brown,Blue
Dan Ige,Kevin Aguilar,Red
Andre Ewell,Anderson Dos Santos,Red
Allen Crowder,Jairzinho Rozenstruik,Blue
Ariane Lipski,Molly McCann,Blue
Deron Winn,Eric Spicely,Red
Aljamain Sterling,Pedro Munhoz,Red
Tatiana Suarez,Nina Ansaroff,Red
Tai Tuivasa,Blagoy Ivanov,Blue
Valentina Shevchenko,Jessica Eye,Red
Jimmie Rivera,Petr Yan,Blue
Tony Ferguson,Donald Cerrone,Red
Karolina Kowalkiewicz,Alexa Grasso,Blue
Henry Cejudo,Marlon Moraes,Red
Yan Xiaonan,Angela Hill,Red
Katlyn Chookagian,Joanne Calderwood,Red
Bevon Lewis,Darren Stewart,Blue
Ricardo Lamas,Calvin Kattar,Blue
Eddie Wineland,Grigory Popov,Red
Stevie Ray,Leonardo Santos,Blue
Tonya Evinger,Lina Lansberg,Blue
Damir Hadzovic,Christos Giagos,Blue
Makwan Amirkhani,Chris Fishgold,Red
Alexander Gustafsson,Anthony Smith,Blue
Daniel Teymur,Sung Bin Jo,Red
Rostem Akman,Sergey Khandozhko,Blue
Jimi Manuwa,Aleksandar Rakic,Blue
Darko Stosic,Devin Clark,Blue
Joel Alvarez,Danilo Belluardo,Red
Nick Hein,Frank Camacho,Blue
Bea Malecki,Duda Santana,Red
Davi Ramos,Austin Hubbard,Red
Vicente Luque,Derrick Krantz,Red
Rafael Dos Anjos,Kevin Lee,Red
Aspen Ladd,Sijara Eubanks,Red
Desmond Green,Charles Jourdain,Red
Megan Anderson,Felicia Spencer,Blue
Antonio Carlos Junior,Ian Heinisch,Blue
Charles Oliveira,Nik Lentz,Red
Zak Cummings,Trevin Giles,Red
Michael Trizano,Grant Dawson,Blue
Danny Roberts,Michel Pereira,Blue
Patrick Cummins,Ed Herman,Blue
Julio Arce,Julian Erosa,Red
Irene Aldana,Bethe Correia,Red
Jared Cannonier,Anderson Silva,Red
Rogerio Nogueira,Ryan Spann,Blue
Thiago Moises,Kurt Holobaugh,Red
Jose Aldo,Alexander Volkanovski,Blue
Thiago Alves,Laureano Staropoli,Blue
Warlley Alves,Sergio Moraes,Red
Rose Namajunas,Jessica Andrade,Blue
Raoni Barcelos,Carlos Huachin,Red
BJ Penn,Clay Guida,Blue
Luana Carolina,Priscila Cachoeira,Red
Talita Bernardo,Viviane Araujo,Blue
Walt Harris,Serghei Spivac,Red
Al Iaquinta,Donald Cerrone,Blue
Marc-Andre Barriault,Andrew Sanchez,Blue
Aiemann Zahabi,Vince Morales,Blue
Derek Brunson,Elias Theodorou,Red
Macy Chiasson,Sarah Moras,Red
Cub Swanson,Shane Burgos,Blue
Brad Katona,Merab Dvalishvili,Blue
Nordine Taleb,Kyle Prepolec,Red
Kyle Nelson,Matt Sayles,Blue
Arjan Bhullar,Juan Adams,Red
Mitch Gagnon,Cole Smith,Blue
Andrei Arlovski,Augusto Sakai,Blue
Glover Teixeira,Ion Cutelaba,Red
Greg Hardy,Dmitrii Smoliakov,Red
John Lineker,Cory Sandhagen,Blue
Jacare Souza,Jack Hermansson,Blue
Roosevelt Roberts,Thomas Gifford,Red
Ben Saunders,Takashi Sato,Blue
Alex Oliveira,Mike Perry,Blue
Angela Hill,Jodie Esquibel,Red
Carla Esparza,Virna Jandiroba,Red
Gilbert Burns,Mike Davis,Red
Jim Miller,Jason Gonzalez,Red
Court McGee,Dhiego Lima,Blue
Roxanne Modafferi,Antonina Shevchenko,Red
Alexander Yakovlev,Alex Da Silva,Red
Islam Makhachev,Arman Tsarukyan,Red
Krzysztof Jotko,Alen Amedovski,Red
Sergei Pavlovich,Marcelo Golm,Red
Alistair Overeem,Aleksei Oleinik,Red
Movsar Evloev,SeungWoo Choi,Red
Sultan Aliev,Keita Nakamura,Red
Marcin Tybura,Shamil Abdurakhimov,Blue
Gadzhimurad Antigulov,Michal Oleksiejczuk,Blue
Magomed Mustafaev,Rafael Fiziev,Red
Max Holloway,Dustin Poirier,Blue
Max Griffin,Zelim Imadaev,Red
Eryk Anders,Khalil Rountree Jr.,Blue
Alan Jouban,Dwight Grant,Blue
Jalin Turner,Matt Frevola,Blue
Ovince Saint Preux,Nikita Krylov,Blue
Kelvin Gastelum,Israel Adesanya,Blue
Curtis Millender,Belal Muhammad,Blue
Wilson Reis,Alexandre Pantoja,Blue
Boston Salmon,Khalid Taha,Blue
Montel Jackson,Andre Soukhamthath,Red
Brandon Davis,Randy Costa,Red
Lauren Mueller,Poliana Botelho,Blue
Edson Barboza,Justin Gaethje,Blue
Kennedy Nzechukwu,Paul Craig,Blue
Ross Pearson,Desmond Green,Blue
Sodiq Yusuff,Sheymon Moraes,Red
Karolina Kowalkiewicz,Michelle Waterson,Blue
Marina Rodriguez,Jessica Aguilar,Red
Josh Emmett,Michael Johnson,Red
David Branch,Jack Hermansson,Blue
Ray Borg,Casey Kenney,Blue
Enrique Barzola,Kevin Aguilar,Blue
Kevin Holland,Gerald Meerschaert,Red
Alex Perez,Mark De La Rosa,Red
Sabina Mazo,Maryna Moroz,Blue
Bryce Mitchell,Bobby Moffett,Red
Jussier Formiga,Deiveson Figueiredo,Red
Stephen Thompson,Anthony Pettis,Blue
Marlon Vera,Frankie Saenz,Red
Curtis Blaydes,Justin Willis,Red
John Makdessi,Jesus Pinedo,Red
Maycee Barber,JJ Aldrich,Red
Luis Pena,Steven Peterson,Red
Randa Markos,Angela Hill,Red
Eric Shelton,Jordan Espinosa,Blue
Alexis Davis,Jennifer Maia,Blue
Ryan MacDonald,Chris Gutierrez,Blue
Volkan Oezdemir,Dominick Reyes,Blue
Jack Marshman,John Phillips,Red
Nathaniel Wood,Jose Quinonez,Red
Marc Diakiese,Joe Duffy,Red
Arnold Allen,Jordan Rinaldi,Red
Danny Roberts,Claudio Silva,Blue
Darren Till,Jorge Masvidal,Blue
Leon Edwards,Gunnar Nelson,Red
Danny Henry,Dan Ige,Blue
Molly McCann,Priscila Cachoeira,Red
Nicolae Negumereanu,Saparbeg Safarov,Blue
Mike Grundy,Nad Narimani,Red
Blagoy Ivanov,Ben Rothwell,Red
Elizeu Zaleski dos Santos,Curtis Millender,Red
Derrick Lewis,Junior Dos Santos,Blue
Beneil Dariush,Drew Dober,Red
Marion Reneau,Yana Kunitskaya,Blue
Tim Boetsch,Omari Akhmedov,Blue
Anthony Rocco Martin,Sergio Moraes,Red
Tim Means,Niko Price,Blue
Grant Dawson,Julian Erosa,Red
Maurice Greene,Jeff Hughes,Red
Alex White,Dan Moret,Red
Alex Morono,Zak Ottow,Red
Louis Smolka,Matt Schnell,Blue
Robbie Lawler,Ben Askren,Blue
Tecia Torres,Zhang Weili,Blue
Cody Garbrandt,Pedro Munhoz,Blue
Jon Jones,Anthony Smith,Red
Jeremy Stephens,Zabit Magomedsharipov,Blue
Tyron Woodley,Kamaru Usman,Blue
Misha Cirkunov,Johnny Walker,Blue
Cody Stamann,Alejandro Perez,Red
Diego Sanchez,Mickey Gall,Red
Gina Mazany,Macy Chiasson,Blue
Edmen Shahbazyan,Charles Byrd,Red
Polyana Viana,Hannah Cifers,Blue
Daniel Teymur,Chris Fishgold,Blue
Dwight Grant,Carlo Pedersoli Jr.,Red
Gian Villante,Michal Oleksiejczuk,Blue
Magomed Ankalaev,Klidson Abreu,Red
Liz Carmouche,Lucie Pudilova,Red
Jan Blachowicz,Thiago Santos,Blue
John Dodson,Petr Yan,Blue
Stefan Struve,Marcos Rogerio de Lima,Red
Damir Hadzovic,Marco Polo Reyes,Red
Veronica Macedo,Gillian Robertson,Blue
Michel Prazeres,Ismail Naurdiev,Blue
Damir Ismagulov,Joel Alvarez,Red
Rustam Khabilov,Diego Ferreira,Blue
Jimmie Rivera,Aljamain Sterling,Blue
Alex Caceres,Kron Gracie,Blue
Andre Fili,Myles Jury,Red
Cortney Casey,Cynthia Calvillo,Blue
James Vick,Paul Felder,Blue
Francis Ngannou,Cain Velasquez,Red
Vicente Luque,Bryan Barberena,Red
Benito Lopez,Manny Bermudez,Blue
Ashlee Evans-Smith,Andrea Lee,Blue
Aleksandra Albu,Emily Whitmire,Blue
Scott Holtzman,Nik Lentz,Blue
Renan Barao,Luke Sanders,Blue
Rani Yahya,Ricky Simon,Blue
Shane Young,Austin Arnett,Red
Montana De La Rosa,Nadia Kassem,Red
Jimmy Crute,Sam Alvey,Red
Lando Vannata,Marcos Mariano,Red
Devonte Smith,Dong Hyun Ma,Red
Israel Adesanya,Anderson Silva,Red
Kai Kara-France,Raulian Paiva,Red
Callan Potter,Jalin Turner,Blue
Wuliji Buren,Jonathan Martinez,Blue
Teruto Ishihara,Kyung Ho Kang,Blue
Demian Maia,Lyman Good,Red
Charles Oliveira,David Teymur,Red
Raphael Assuncao,Marlon Moraes,Blue
Johnny Walker,Justin Ledet,Red
Mara Romero Borella,Taila Santos,Red
Jose Aldo,Renato Moicano,Red
Markus Perez,Anthony Hernandez,Red
Livinha Souza,Sarah Frota,Red
Junior Albini,Jairzinho Rozenstruik,Blue
Thiago Alves,Max Griffin,Red
Ricardo Ramos,Said Nurmagomedov,Blue
Geraldo de Freitas,Felipe Colares,Red
Bibulatov Magomed,Rogerio Bontorin,Blue
Henry Cejudo,TJ Dillashaw,Red
Alexander Hernandez,Donald Cerrone,Blue
Joanne Calderwood,Ariane Lipski,Red
Gregor Gillespie,Yancy Medeiros,Red
Glover Teixeira,Karl Roberson,Red
Joseph Benavidez,Dustin Ortiz,Red
Greg Hardy,Allen Crowder,Blue
Paige VanZant,Rachael Ostovich,Red
Alonzo Menifield,Vinicius Moreira,Red
Cory Sandhagen,Mario Bautista,Red
Dennis Bermudez,Te Edwards,Red
Kyle Stewart,Chance Rencountre,Blue
Belal Muhammad,Geoff Neal,Blue
Douglas Silva de Andrade,Petr Yan,Blue
Chad Mendes,Alexander Volkanovski,Blue
Jon Jones,Alexander Gustafsson,Red
Cristiane Justino,Amanda Nunes,Blue
Carlos Condit,Michael Chiesa,Blue
Cat Zingano,Megan Anderson,Blue
Ilir Latifi,Corey Anderson,Blue
Andrei Arlovski,Walt Harris,Draw
Nathaniel Wood,Andre Ewell,Red
Uriah Hall,Bevon Lewis,Red
BJ Penn,Ryan Hall,Blue
Curtis Millender,Siyar Bahadurzada,Red
Brian Kelleher,Montel Jackson,Blue
Zak Ottow,Dwight Grant,Red
Jim Miller,Charles Oliveira,Blue
Kevin Lee,Al Iaquinta,Blue
Bobby Green,Drakkar Klose,Blue
Edson Barboza,Dan Hooker,Red
Rob Font,Sergio Pettis,Red
Gerald Meerschaert,Jack Hermansson,Blue
Jared Gordon,Joaquim Silva,Blue
Trevor Smith,Zak Cummings,Blue
Dan Ige,Jordan Griffin,Red
Adam Milstead,Mike Rodriguez,Blue
Chris de la Rocha,Juan Adams,Blue
Alex Oliveira,Gunnar Nelson,Blue
Claudia Gadelha,Nina Ansaroff,Blue
Olivier Aubin-Mercier,Gilbert Burns,Blue
Valentina Shevchenko,Joanna Jedrzejczyk,Red
Katlyn Chookagian,Jessica Eye,Blue
Jimi Manuwa,Thiago Santos,Blue
Hakeem Dawodu,Kyle Bochniak,Red
Elias Theodorou,Eryk Anders,Red
Brad Katona,Matthew Lopez,Red
Diego Ferreira,Kyle Nelson,Red
Max Holloway,Brian Ortega,Red
Devin Clark,Aleksandar Rakic,Blue
Chad Laprise,Dhiego Lima,Blue
Mark Hunt,Justin Willis,Blue
Wilson Reis,Ben Nguyen,Red
Suman Mokhtarian,Sodiq Yusuff,Blue
Yushin Okami,Aleksei Kunchenko,Blue
Jake Matthews,Anthony Rocco Martin,Blue
Jimmy Crute,Paul Craig,Red
Junior Dos Santos,Tai Tuivasa,Red
Mauricio Rua,Tyson Pedro,Red
Alex Gorgees,Damir Ismagulov,Blue
Keita Nakamura,Salim Touahri,Red
Elias Garcia,Kai Kara-France,Blue
Mizuto Hirota,Christos Giagos,Blue
Joseph Benavidez,Alex Perez,Red
Darren Stewart,Edmen Shahbazyan,Blue
Juan Espino,Justin Frazier,Red
Rick Glenn,Kevin Aguilar,Blue
Ji Yeon Kim,Antonina Shevchenko,Blue
Rafael Dos Anjos,Kamaru Usman,Blue
Pedro Munhoz,Bryan Caraway,Red
Pannie Kianzad,Macy Chiasson,Blue
Roosevelt Roberts,Darrell Horcher,Red
Julija Stoliarenko,Leah Letson,Blue
Tim Means,Ricky Rainey,Red
Maurice Greene,Michel Batista,Red
Raoni Barcelos,Chris Gutierrez,Red
Zhang Weili,Jessica Aguilar,Red
Song Kenan,Alex Morono,Blue
Alistair Overeem,Sergei Pavlovich,Red
Wu Yanan,Lauren Mueller,Red
Hu Yaozong,Rashad Coulter,Blue
Song Yadong,Vince Morales,Red
Li Jingliang,David Zawada,Red
Curtis Blaydes,Francis Ngannou,Blue
Kevin Holland,John Phillips,Red
Yan Xiaonan,Syuri Kondo,Red
Su Mudaerji,Louis Smolka,Blue
Pingyuan Liu,Martin Day,Red
Michel Prazeres,Bartosz Fabinski,Red
Guido Cannetti,Marlon Vera,Blue
Khalil Rountree Jr.,Johnny Walker,Blue
Cynthia Calvillo,Poliana Botelho,Red
Cezar Ferreira,Ian Heinisch,Blue
Alexandre Pantoja,Yuta Sasaki,Red
Neil Magny,Santiago Ponzinibbio,Blue
Ricardo Lamas,Darren Elkins,Red
Devin Powell,Jesus Pinedo,Blue
Humberto Bandenay,Austin Arnett,Blue
Nad Narimani,Anderson Dos Santos,Red
Laureano Staropoli,Hector Aldana,Red
Maycee Barber,Hannah Cifers,Red
Beneil Dariush,Thiago Moises,Red
Michael Trizano,Luis Pena,Red
Chas Skelly,Bobby Moffett,Draw
Raquel Pennington,Germaine de Randamie,Blue
Chan Sung Jung,Yair Rodriguez,Blue
Ashley Yoder,Amanda Cooper,Red
Donald Cerrone,Mike Perry,Red
Devonte Smith,Julian Erosa,Red
Joseph Morales,Eric Shelton,Blue
Davi Ramos,John Gunther,Red
Mark De La Rosa,Joby Sanchez,Red
Jason Knight,Jordan Rinaldi,Blue
Karl Roberson,Jack Marshman,Red
David Branch,Jared Cannonier,Blue
Daniel Cormier,Derrick Lewis,Red
Derek Brunson,Israel Adesanya,Blue
Julio Arce,Sheymon Moraes,Blue
Sijara Eubanks,Roxanne Modafferi,Red
Chris Weidman,Jacare Souza,Blue
Matt Frevola,Lando Vannata,Draw
Lyman Good,Ben Saunders,Red
Shane Burgos,Kurt Holobaugh,Red
Adam Wieczorek,Marcos Rogerio de Lima,Blue
Misha Cirkunov,Patrick Cummins,Red
Gian Villante,Ed Herman,Red
Nordine Taleb,Sean Strickland,Blue
Alex Garcia,Court McGee,Blue
Michael Johnson,Artem Lobov,Red
Volkan Oezdemir,Anthony Smith,Blue
Thibault Gouti,Nasrat Haqparast,Blue
Andre Soukhamthath,Jonathan Martinez,Red
Calvin Kattar,Chris Fishgold,Red
Sarah Moras,Talita Bernardo,Blue
Te Edwards,Don Madge,Blue
Stevie Ray,Jessin Ayari,Red
Arjan Bhullar,Marcelo Golm,Red
Sergio Pettis,Jussier Formiga,Blue
Vicente Luque,Jalin Turner,Red
Tony Ferguson,Anthony Pettis,Red
Ovince Saint Preux,Dominick Reyes,Blue
Michelle Waterson,Felice Herrig,Red
Aspen Ladd,Tonya Evinger,Red
Derrick Lewis,Alexander Volkov,Red
Khabib Nurmagomedov,Conor McGregor,Red
Scott Holtzman,Alan Patrick,Red
Lina Lansberg,Yana Kunitskaya,Blue
Ryan LaFlare,Anthony Rocco Martin,Blue
Gray Maynard,Nik Lentz,Blue
Alex Oliveira,Carlo Pedersoli Jr.,Red
Luis Henrique,Ryan Spann,Blue
Charles Oliveira,Christos Giagos,Red
Randa Markos,Marina Rodriguez,Draw
Sam Alvey,Rogerio Nogueira,Blue
Francisco Trinaldo,Evan Dunham,Red
Thiago Santos,Eryk Anders,Red
Renan Barao,Andre Ewell,Blue
Sergio Moraes,Ben Saunders,Red
Mayra Bueno Silva,Gillian Robertson,Red
Augusto Sakai,Chase Sherman,Red
Elizeu Zaleski dos Santos,Luigi Vendramini,Red
Thales Leites,Hector Lombard,Red
Livinha Souza,Alex Chambers,Red
Rustam Khabilov,Kajan Johnson,Red
Andrei Arlovski,Shamil Abdurakhimov,Blue
Aleksei Kunchenko,Thiago Alves,Red
Jan Blachowicz,Nikita Krylov,Red
Khalid Murtazaliev,CB Dollaway,Red
Mark Hunt,Aleksei Oleinik,Blue
Petr Yan,Jin Soo Son,Red
Mairbek Taisumov,Desmond Green,Red
Magomed Ankalaev,Marcin Prachnio,Red
Adam Yandiev,Jordan Johnson,Blue
Ramazan Emeev,Stefan Sekulic,Red
Merab Dvalishvili,Terrion Ware,Red
Jimmie Rivera,John Dodson,Red
Jessica Andrade,Karolina Kowalkiewicz,Red
Zabit Magomedsharipov,Brandon Davis,Red
Aljamain Sterling,Cody Stamann,Red
Abdul Razak Alhassan,Niko Price,Red
Carla Esparza,Tatiana Suarez,Blue
Geoff Neal,Frank Camacho,Red
Tyron Woodley,Darren Till,Red
Charles Byrd,Darren Stewart,Blue
Jim Miller,Alex White,Red
Irene Aldana,Lucie Pudilova,Red
Diego Sanchez,Craig White,Red
Robert Sanchez,Jarred Brooks,Blue
Cortney Casey,Angela Hill,Red
Cory Sandhagen,Iuri Alcantara,Red
John Moraga,Deiveson Figueiredo,Blue
Eryk Anders,Tim Williams,Red
James Krause,Warlley Alves,Red
Jake Ellenberger,Bryan Barberena,Blue
Justin Gaethje,James Vick,Red
Michael Johnson,Andre Fili,Red
Joanne Calderwood,Kalindra Faria,Red
Andrew Sanchez,Markus Perez,Red
Rani Yahya,Luke Sanders,Red
Mickey Gall,George Sullivan,Red
Drew Dober,Jon Tuck,Red
Thiago Santos,Kevin Holland,Red
TJ Dillashaw,Cody Garbrandt,Red
Ricardo Ramos,Kyung Ho Kang,Red
Polyana Viana,JJ Aldrich,Blue
Ricky Simon,Montel Jackson,Red
Cub Swanson,Renato Moicano,Blue
Pedro Munhoz,Brett Johns,Red
Demetrious Johnson,Henry Cejudo,Blue
Matt Sayles,Sheymon Moraes,Blue
Marlon Vera,Wuliji Buren,Red
Alex Perez,Jose Torres,Red
Danielle Taylor,Zhang Weili,Blue
Kajan Johnson,Islam Makhachev,Blue
Joanna Jedrzejczyk,Tecia Torres,Red
Alexander Hernandez,Olivier Aubin-Mercier,Red
Gadzhimurad Antigulov,Ion Cutelaba,Blue
Eddie Alvarez,Dustin Poirier,Blue
Jose Aldo,Jeremy Stephens,Red
Hakeem Dawodu,Austin Arnett,Red
Jordan Mein,Alex Morono,Red
Dustin Ortiz,Matheus Nicolau,Red
Randa Markos,Nina Ansaroff,Blue
Alexis Davis,Katlyn Chookagian,Blue
Devin Powell,Alvaro Herrera Mendoza,Red
John Makdessi,Ross Pearson,Red
Mauricio Rua,Anthony Smith,Blue
Glover Teixeira,Corey Anderson,Blue
Emil Meek,Bartosz Fabinski,Blue
Vitor Miranda,Abu Azaitar,Blue
Danny Roberts,David Zawada,Red
Nasrat Haqparast,Marc Diakiese,Red
