R_fighter,B_fighter,Winner
Veronica Macedo,Bea Malecki,Blue
Beneil Dariush,Drakkar Klose,Red
Neil Magny,Li Jingliang,Red
Sean O'Malley,Jose Quinonez,Red
Israel Adesanya,Yoel Romero,Red
Zhang Weili,Joanna Jedrzejczyk,Red
Rodolfo Vieira,Saparbeg Safarov,Red
Mark Madsen,Austin Hubbard,Red
Giga Chikadze,Jamall Emmers,Red
Batgerel Danaa,Guido Cannetti,Red
Gerald Meerschaert,Deron Winn,Red
Alex Oliveira,Max Griffin,Red
Marcin Tybura,Serghei Spivac,Red
Ion Cutelaba,Magomed Ankalaev,Blue
Felicia Spencer,Zarah Fairn,Red
Grant Dawson,Darrick Minner,Red
Brendan Allen,Tom Breese,Red
Gabriel Silva,Kyler Phillips,Blue
Joseph Benavidez,Deiveson Figueiredo,Blue
Megan Anderson,Norma Dumont,Red
Jordan Griffin,TJ Brown,Red
Sean Brady,Ismail Naurdiev,Red
Aalon Cruz,Spike Carlyle,Blue
Luis Pena,Steve Garcia,Red
Jimmy Crute,Michal Oleksiejczuk,Red
Paul Felder,Dan Hooker,Blue
Jalin Turner,Josh Culibao,Red
Karolina Kowalkiewicz,Yan Xiaonan,Blue
Ben Sosoli,Marcos Rogerio de Lima,Blue
Brad Riddell,Magomed Mustafaev,Red
Kevin Aguilar,Zubaira Tukhugov,Blue
Jake Matthews,Emil Meek,Red
Loma Lookboonmee,Angela Hill,Blue
Kai Kara-France,Tyson Nam,Red
Callan Potter,Song Kenan,Blue
Priscila Cachoeira,Shana Dobson,Red
Tim Means,Daniel Rodriguez,Blue
Lando Vannata,Yancy Medeiros,Red
Brok Weaver,Kazula Vargas,Red
Montana De La Rosa,Mara Romero Borella,Red
Rogerio Bontorin,Ray Borg,Blue
Diego Sanchez,Michel Pereira,Red
Corey Anderson,Jan Blachowicz,Blue
John Dodson,Nathaniel Wood,Red
Jim Miller,Scott Holtzman,Blue
Devin Clark,Dequan Townsend,Red
Casey Kenney,Merab Dvalishvili,Blue
Mark De La Rosa,Raulian Paiva,Blue
Macy Chiasson,Shanna Young,Red
Valentina Shevchenko,Katlyn Chookagian,Red
Juan Adams,Justin Tafa,Blue
Trevin Giles,James Krause,Red
Derrick Lewis,Ilir Latifi,Red
Lauren Murphy,Andrea Lee,Red
Jon Jones,Dominick Reyes,Red
Mirsad Bektic,Dan Ige,Blue
Alex Morono,Khaos Williams,Blue
Andre Ewell,Jonathan Martinez,Red
Domingo Pilarte,Journey Newson,Draw
Miles Johns,Mario Bautista,Blue
Austin Lingo,Youssef Zalal,Blue
Curtis Blaydes,Junior Dos Santos,Red
Justine Kish,Lucie Pudilova,Red
Bevon Lewis,Dequan Townsend,Red
Jordan Espinosa,Alex Perez,Blue
Jamahal Hill,Darko Stosic,Red
Rafael Dos Anjos,Michael Chiesa,Blue
Montel Jackson,Felipe Colares,Red
Arnold Allen,Nik Lentz,Red
Sara McMann,Lina Lansberg,Red
Hannah Cifers,Angela Hill,Blue
Brett Johns,Tony Gravely,Red
Herbert Burns,Nate Landwehr,Red
Anthony Pettis,Diego Ferreira,Blue
Tim Elliott,Askar Askarov,Blue
Aleksei Oleinik,Maurice Greene,Red
Holly Holm,Raquel Pennington,Red
Conor McGregor,Donald Cerrone,Red
Roxanne Modafferi,Maycee Barber,Red
Andre Fili,Sodiq Yusuff,Blue
Brian Kelleher,Ode Osbourne,Red
Drew Dober,Nasrat Haqparast,Red
Aleksa Camur,Justin Ledet,Red
Sabina Mazo,JJ Aldrich,Red
Dooho Choi,Charles Jourdain,Blue
Volkan Oezdemir,Aleksandar Rakic,Red
Frankie Edgar,Chan Sung Jung,Blue
Da-Un Jung,Mike Rodriguez,Red
SeungWoo Choi,Suman Mokhtarian,Red
Kyung Ho Kang,Pingyuan Liu,Red
Ciryl Gane,Tanner Boser,Red
Dong Hyun Ma,Omar Morales,Blue
Miranda Granger,Amanda Lemos,Blue
Alexandre Pantoja,Matt Schnell,Red
Heili Alateng,Ryan Benoit,Red
Junyong Park,Marc-Andre Barriault,Red
Raoni Barcelos,Said Nurmagomedov,Red
Geoff Neal,Mike Perry,Red
Ian Heinisch,Omari Akhmedov,Blue
Amanda Nunes,Germaine de Randamie,Red
Max Holloway,Alexander Volkanovski,Blue
Petr Yan,Urijah Faber,Red
Kamaru Usman,Colby Covington,Red
Marlon Moraes,Jose Aldo,Red
Ketlen Vieira,Irene Aldana,Blue
Brandon Moreno,Kai Kara-France,Red
Matt Brown,Ben Saunders,Red
Chase Hooper,Daniel Teymur,Red
Jessica Eye,Viviane Araujo,Red
Punahele Soriano,Oskar Piechota,Red
Marina Rodriguez,Cynthia Calvillo,Draw
